year	oct	nov	dec	jan	feb	mar	apr	season
1999-00	0	0	0	14.5	0.9	0	0	15.4
2000-01	0	0	2	2.4	2.8	0.2	0	7.4
2001-02	0	0	0	2.7	0.5	0	0	3.2
2002-03	0	0	7.1	4.5	28.7	0.1	0	40.4
2003-04	0	0	6.2	6.2	0	0	0	12.4
2004-05	0	0	0.1	6.4	5.2	0.8	0	12.5
2005-06	0	0	4.8	0	8.8	0	0	13.6
2006-07	0	0	0	1.3	5.9	1.9	0.4	9.5
2007-08	0	0	2.6	1.3	1	0	0	4.9
2008-09	0	0	0	1.9	0.1	5.5	0	7.5
2009-10	0	0	16.6	7.4	32.1	0	0	56.1
2010-11	0	0	2.1	7.3	0.5	0.2	0	10.1
2011-12	0	0	0	1.7	0.3	0	0	2
2012-13	0	0	0.2	0.9	0.4	1.6	0	3.1
2013-14	0	0	1.5	6.6	11.2	12.7	0	32
