FIPS	County	2010	2000	1990	1980	1970	1960	1950	1940	1930	1920	1910	1900	1890	1880	1870	1860	1850	1840	1830	1820	1810	1800	1790	c2010	c2000	c1990	c1980	c1970	c1960	c1950	c1940	c1930	c1920	c1910	c1900	c1890	c1880	c1870	c1860	c1850	c1840	c1830	c1820	c1810	c1800
1033	Colbert 	54428	54979	51666	54519	49632	46506	39561	34093	29860	31997	24802	22341	20189	16153	12537	--- 	--- 	--- 	--- 	--- 	--- 	--- 		-0.010022008	0.064123408	-0.05233038	0.0984647	0.067217133	0.17555168	0.16038483	0.141761554	-0.066787511	0.290097573	0.110156215	0.106592699	0.249860707	0.288426258	.	.	.	.	.	.	.	.
1035	Conecuh 	13228	14077	14054	15884	15645	17762	21776	25489	25429	24593	21433	17514	14594	12605	9574	11311	9322	8197	7444	5713	--- 	--- 		-0.060311146	0.001636545	-0.115210274	0.015276446	-0.119187028	-0.184331374	-0.145670681	0.002359511	0.033993413	0.147436197	0.223763846	0.200082226	0.157794526	0.316586589	-0.153567324	0.21336623	0.137245334	0.101155293	0.302993173	.	.	.
1037	Coosa 	11539	11842	11063	11377	10662	10726	11766	13460	12460	14839	16634	16144	15906	15113	11945	19273	14543	6995	--- 	--- 	--- 	--- 		-0.025586894	0.070414897	-0.027599543	0.067060589	-0.00596681	-0.088390277	-0.125854383	0.080256822	-0.160320776	-0.107911507	0.030351833	0.014962907	0.052471382	0.265215571	-0.380221035	0.325242385	1.079056469	.	.	.	.	.
1039	Covington 	37765	37640	36478	36850	34079	35631	40373	42417	41356	38103	32124	15346	7536	5639	4868	6469	3645	2435	1522	--- 	--- 	--- 		0.003320935	0.031854817	-0.01009498	0.081311071	-0.043557576	-0.117454735	-0.048188226	0.025655286	0.085373855	0.186122525	1.093314219	1.036358811	0.336407164	0.158381265	-0.24748802	0.774759945	0.496919918	0.599868594	.	.	.	.
1041	Crenshaw 	13906	13657	13635	14110	13188	14909	18981	23631	23656	23017	23313	19668	15425	11726	11156	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.018232408	0.001613495	-0.033664068	0.069912041	-0.115433631	-0.21453032	-0.196775422	-0.001056814	0.027762089	-0.012696779	0.185326419	0.275072934	0.31545284	0.051093582	.	.	.	.	.	.	.	.
1043	Cullman 	80406	77426	67613	61642	52445	45572	49046	47343	41051	33034	28321	17849	13439	6355	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.038488363	0.145134811	0.096865773	0.175364668	0.150816291	-0.070831464	0.035971527	0.153272758	0.24268935	0.166413615	0.586699535	0.328149416	1.114712825	.	.	.	.	.	.	.	.	.
1045	Dale 	50251	49120	49633	47821	52938	31066	20828	22685	23175	22711	21608	21189	17225	12677	11325	12197	6382	7397	2031	--- 	--- 	--- 		0.023025244	-0.010335865	0.037891303	-0.096660244	0.704049443	0.491549837	-0.08186026	-0.021143474	0.020430628	0.051045909	0.019774411	0.230130624	0.358759959	0.119381898	-0.07149299	0.911156377	-0.137217791	2.642048252	.	.	.	.
1047	Dallas 	43820	46361	48130	53981	55296	56667	56270	55245	55094	54697	53401	54657	49350	48433	40705	33625	29727	25199	14017	6003	--- 	--- 		-0.054808999	-0.036754623	-0.108389989	-0.023781105	-0.024193975	0.007055269	0.018553715	0.00274077	0.007258168	0.024269208	-0.022979673	0.107537994	0.018933372	0.189853826	0.210557621	0.131126585	0.17968967	0.797745595	1.334999167	.	.	.
1049	DeKalb 	71109	64436	54651	53658	41981	41417	45048	43075	40104	34426	28261	23558	21106	12675	7126	10705	8245	5929	--- 	--- 	--- 	--- 		0.103560122	0.179045214	0.018506094	0.278149639	0.013617597	-0.080602912	0.045803831	0.074082386	0.164933481	0.218145147	0.199634944	0.116175495	0.665167653	0.778697727	-0.334329752	0.298362644	0.390622365	.	.	.	.	.
1051	Elmore 	79303	65819	49210	43390	33535	30524	31649	34546	34280	28085	28245	26099	21732	17502	14477	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.204864857	0.337512701	0.134132289	0.293872074	0.09864369	-0.035546147	-0.083859202	0.007759627	0.220580381	-0.005664719	0.082225373	0.200947911	0.241686664	0.208952131	.	.	.	.	.	.	.	.
1053	Escambia 	38319	38452	35518	38440	34906	33511	31443	30671	27963	22464	18889	11320	8666	5719	4041	--- 	--- 	--- 	--- 	--- 	--- 	--- 		-0.003458858	0.082606003	-0.076014568	0.101243339	0.041628122	0.065769806	0.025170356	0.096842256	0.244791667	0.189263593	0.668639576	0.306254327	0.515299878	0.415243752	.	.	.	.	.	.	.	.
1055	Etowah 	104430	103448	99840	103057	94144	96980	93892	72580	63399	47275	39109	27361	21926	15398	10109	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.009492692	0.036137821	-0.031215735	0.094674116	-0.029243143	0.032888851	0.29363461	0.14481301	0.341068218	0.208801043	0.429370272	0.24787923	0.423951162	0.523197151	.	.	.	.	.	.	.	.
1057	Fayette 	17241	18522	17962	18809	16252	16148	19388	21651	18443	18365	16248	14132	12823	10135	7136	12850	9681	6942	3547	--- 	--- 	--- 		-0.069160998	0.031176929	-0.045031634	0.157334482	0.006440426	-0.167113679	-0.104521731	0.173941333	0.004247209	0.130292959	0.149731107	0.102082196	0.265219536	0.420263453	-0.444669261	0.327342217	0.394554883	0.957146885	.	.	.	.
1059	Franklin 	31704	31257	27814	28350	23933	21988	25705	27552	25372	22011	19369	16511	10681	9155	8006	18627	19610	14270	11078	4988	--- 	--- 		0.014300797	0.123786582	-0.018906526	0.184556888	0.08845734	-0.144602217	-0.067036876	0.085921488	0.152696379	0.136403531	0.173096723	0.545829042	0.166684872	0.143517362	-0.570193805	-0.050127486	0.374211633	0.288138653	1.220930233	.	.	.
1061	Geneva 	26790	25700	23647	24253	21924	22310	25899	29172	30104	29315	26230	19096	10690	4342	2959	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.042412451	0.086818624	-0.0249866	0.106230615	-0.017301658	-0.138576779	-0.112196627	-0.030959341	0.026914549	0.11761342	0.373586091	0.786342376	1.461999079	0.467387631	.	.	.	.	.	.	.	.
1063	Greene 	9045	9923	10153	11021	10650	13600	16482	19185	19745	18133	22717	24182	22007	21931	18399	30859	31441	24024	15026	4554	--- 	--- 		-0.088481306	-0.022653403	-0.078758733	0.034835681	-0.216911765	-0.17485742	-0.140891321	-0.028361611	0.088898693	-0.201787208	-0.060582251	0.09883219	0.003465414	0.191966955	-0.403771995	-0.018510862	0.308732934	0.598828697	2.299516908	.	.	.
1065	Hale 	15760	18270	15498	15604	15888	19537	20832	25533	26265	24289	27883	31011	27501	26553	21792	--- 	--- 	--- 	--- 	--- 	--- 	--- 		-0.137383689	0.178861789	-0.00679313	-0.017875126	-0.186773814	-0.062163978	-0.184114675	-0.027869789	0.081353699	-0.128895743	-0.100867434	0.127631722	0.035702181	0.21847467	.	.	.	.	.	.	.	.
1067	Henry 	17302	16297	15374	15302	13254	15286	18674	21912	22820	21547	20943	36147	24847	18761	14191	14918	9019	5787	4020	2638	--- 	--- 		0.061667792	0.060036425	0.004705267	0.15451939	-0.132932095	-0.181428724	-0.14777291	-0.039789658	0.05908015	0.028840185	-0.420615819	0.454783274	0.324396354	0.322035093	-0.048733074	0.654063643	0.558493174	0.439552239	0.523881729	.	.	.
1069	Houston 	101547	88831	81331	74632	56574	50718	46522	45665	45935	37334	32414	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.143148225	0.09221576	0.089760424	0.319192562	0.115461966	0.090193887	0.018767108	-0.005877871	0.230379815	0.151786265	.	.	.	.	.	.	.	.	.	.	.	.
1071	Jackson 	53227	53871	47796	51407	39202	36681	38998	41802	36881	35864	32918	30508	28026	25114	19410	18283	14088	15715	12700	8751	--- 	--- 		-0.011954484	0.127102686	-0.070243352	0.311336156	0.068727679	-0.059413303	-0.06707813	0.133429137	0.028357127	0.089495109	0.078995673	0.088560622	0.115951262	0.29386914	0.061641962	0.297771153	-0.103531658	0.237401575	0.451262713	.	.	.
1073	Jefferson 	658466	662041	651525	671324	644991	634864	558928	459930	431493	310054	226476	140420	88501	23272	12345	11746	8989	7131	6855	--- 	--- 	--- 		-0.005399968	0.016140593	-0.029492466	0.040826926	0.015951448	0.135860075	0.215245798	0.065903734	0.391670483	0.369036896	0.612847173	0.586648738	2.802896184	0.885135682	0.050996084	0.306708199	0.260552517	0.040262582	.	.	.	.
1075	Lamar 	14564	15902	15715	16453	14335	14271	16441	19708	18001	18149	17487	16084	14187	12142	8893	--- 	--- 	--- 	--- 	--- 	--- 	--- 		-0.08414036	0.011899459	-0.044855042	0.147750262	0.004484619	-0.131987105	-0.165770246	0.094828065	-0.008154719	0.037856694	0.087229545	0.133713963	0.168423653	0.365343529	.	.	.	.	.	.	.	.
1077	Lauderdale 	92709	87952	79661	80546	68111	61622	54179	46230	41130	39556	30936	26559	23739	21035	15091	17420	17172	14485	11781	4963	--- 	--- 		0.05408632	0.104078533	-0.01098751	0.182569629	0.105303301	0.137377951	0.171944625	0.123997082	0.039791688	0.278639772	0.164802892	0.118791861	0.128547659	0.393877145	-0.1336969	0.014442115	0.185502244	0.229522112	1.373765867	.	.	.
1079	Lawrence 	34339	34834	31513	30170	27281	24501	27128	27880	26942	24307	21984	20124	20725	21392	16658	13975	15258	13313	14984	--- 	--- 	--- 		-0.014210254	0.105385079	0.044514418	0.105897878	0.113464757	-0.096837216	-0.02697274	0.03481553	0.108404986	0.105667758	0.092426953	-0.028998794	-0.03117988	0.284187778	0.191985689	-0.084087036	0.146097799	-0.111518954	.	.	.	.
1081	Lee 	140247	115014	87146	76283	61268	49754	45073	36455	36063	32821	32867	31826	28694	27262	21750	--- 	--- 	--- 	--- 	--- 	--- 	--- 		0.219390683	0.319785188	0.142403943	0.245070836	0.231418579	0.103853748	0.236401042	0.010869867	0.098778221	-0.00139958	0.032709106	0.109151739	0.052527327	0.253425287	.	.	.	.	.	.	.	.
1083	Limestone 	82782	65668	54135	46005	41699	36513	35766	35642	36629	31341	26880	22387	21201	21600	15017	15306	16483	14374	14807	9871	--- 	--- 		0.260613998	0.21304147	0.176719922	0.103263867	0.142031605	0.020885757	0.003479042	-0.026945863	0.168724674	0.165959821	0.200696833	0.055940758	-0.018472222	0.438369848	-0.018881484	-0.071406904	0.14672325	-0.029242926	0.500050653	.	.	.
1085	Lowndes 	11299	13483	12658	13253	12897	15417	18018	22661	22878	25406	31894	35651	31550	31176	25719	27716	21915	19539	9410	--- 	--- 	--- 		-0.161981755	0.065176173	-0.044895495	0.027603319	-0.163455925	-0.144355644	-0.204889458	-0.009485095	-0.099504054	-0.203423841	-0.105382738	0.129984152	0.011996407	0.212177767	-0.072052244	0.26470454	0.121602948	1.076408077	.	.	.	.
1087	Macon 	21452	24086	24928	26829	24841	26717	30561	27654	27103	23561	26049	23126	18439	17371	17727	26802	26898	11247	--- 	--- 	--- 	--- 		-0.109358133	-0.033777279	-0.070856163	0.080028984	-0.070217465	-0.125781224	0.105120417	0.020329853	0.150333178	-0.095512304	0.126394534	0.25418949	0.06148178	-0.02008236	-0.338594135	-0.003569039	1.391571086	.	.	.	.	.
1089	Madison 	334811	276998	238912	196966	186540	117348	72903	66317	64623	51268	47041	43702	38119	37625	31267	26451	26427	25706	27990	17481	4699	--- 		0.208712698	0.159414345	0.212960612	0.055891498	0.589630842	0.609645694	0.099310886	0.026213577	0.260493875	0.089857784	0.076403826	0.146462394	0.013129568	0.20334538	0.182072511	0.000908162	0.028047927	-0.081600572	0.601166981	2.720153224	.	.
1091	Marengo 	21027	22533	23084	25047	23819	27098	29494	35736	36426	36065	39923	38315	33095	30890	26151	31171	27831	17264	7700	2933	--- 	--- 		-0.066835308	-0.023869347	-0.078372659	0.051555481	-0.12100524	-0.081236862	-0.174669801	-0.018942514	0.010009705	-0.096636024	0.041967898	0.157727753	0.071382324	0.181216779	-0.161047127	0.120010061	0.612082947	1.242077922	1.625298329	.	.	.
1093	Marion 	30776	31162	29830	30041	23788	21837	27264	28776	25967	22008	17495	14494	11347	9364	6059	11182	7833	5847	4058	--- 	--- 	--- 		-0.012386881	0.044653034	-0.007023734	0.262863629	0.089343774	-0.199053697	-0.052543786	0.108175762	0.179889131	0.257959417	0.207051194	0.277342029	0.211768475	0.545469549	-0.458147022	0.427550109	0.339661365	0.440857565	.	.	.	.
1095	Marshall 	93019	82303	70832	65622	54211	48018	45090	42395	39802	32669	28553	23289	18935	14585	9871	11472	8846	7553	--- 	--- 	--- 	--- 		0.130201815	0.161946578	0.079394106	0.210492336	0.128972469	0.064936793	0.063568817	0.06514748	0.218341547	0.144152979	0.226029456	0.229944547	0.298251628	0.477560531	-0.139557183	0.296857337	0.171190256	.	.	.	.	.
1097	Mobile 	412992	399887	378643	364980	317308	314301	231105	141974	118363	100117	80854	62740	51971	48653	49311	41131	27600	18741	6267	2672	--- 	--- 		0.032771758	0.056105619	0.037434928	0.150238885	0.009567262	0.359992211	0.627798048	0.199479567	0.182246771	0.238244243	0.288715333	0.207211714	0.068197233	-0.013343879	0.19887676	0.490253623	0.472706899	1.990426041	1.345434132	.	.	.
1099	Monroe 	23068	24320	23968	22651	20883	22372	25732	29465	30070	28884	27155	23666	18990	17091	14214	15667	12013	10680	8782	8838	--- 	--- 		-0.051480263	0.014686248	0.058143128	0.084662165	-0.06655641	-0.130576714	-0.126692686	-0.020119721	0.041060795	0.063671515	0.147426688	0.24623486	0.111111111	0.202406079	-0.092742708	0.304170482	0.124812734	0.21612389	-0.006336275	.	.	.
1101	Montgomery 	229363	223518	209085	197038	167790	169210	138965	114420	98671	80853	82178	72047	56172	52356	43704	35904	29711	24574	12695	6604	--- 	--- 		0.026150019	0.069029342	0.061140491	0.17431313	-0.008391939	0.217644731	0.214516693	0.159611233	0.220375249	-0.016123537	0.140616542	0.282614114	0.072885629	0.197968149	0.217245989	0.208441318	0.209042077	0.935722725	0.922319806	.	.	.
1103	Morgan 	119490	111076	100043	90231	77306	60454	52924	48148	46176	40196	33781	28820	24089	16428	12187	11335	10125	9841	9062	5263	--- 	--- 		0.075749937	0.110282578	0.108743115	0.167192715	0.278757402	0.142279495	0.099194151	0.042706168	0.148771022	0.189899648	0.172137405	0.196396696	0.46633796	0.347993764	0.075165417	0.119506173	0.028858856	0.085963363	0.721831655	.	.	.
1105	Perry 	10591	11876	12759	15012	15388	17358	20439	26610	26385	25373	31222	31783	29332	30741	24975	27724	22285	19086	11490	--- 	--- 	--- 		-0.108201415	-0.069206051	-0.150079936	-0.024434624	-0.113492338	-0.15074123	-0.231905299	0.008527572	0.039884917	-0.187335853	-0.017650945	0.083560616	-0.045834553	0.230870871	-0.099155966	0.244065515	0.167609766	0.661096606	.	.	.	.
1107	Pickens 	19746	20914	20699	21481	20326	21882	24349	27671	24902	25353	25055	24402	22470	21479	17690	22316	21512	17118	6622	--- 	--- 	--- 		-0.055847757	0.010386975	-0.036404264	0.056823773	-0.071108674	-0.101318329	-0.120053486	0.111195888	-0.017788822	0.011893834	0.026760102	0.085981308	0.046138088	0.214188807	-0.207295214	0.037374489	0.256688866	1.585019632	.	.	.	.
1109	Pike 	32899	29688	27595	28050	25038	25987	30608	32493	32240	31631	30815	29172	24423	20640	17423	24435	15920	10108	7108	--- 	--- 	--- 		0.108158178	0.075847074	-0.016221034	0.120297148	-0.036518259	-0.150973602	-0.058012495	0.007847395	0.019253264	0.02648061	0.05632113	0.194447857	0.183284884	0.184640992	-0.286965418	0.534861809	0.574990107	0.422059651	.	.	.	.
1111	Randolph 	22913	22344	19881	20075	18331	19477	22513	25516	26861	27064	24659	21647	17219	16575	12006	20059	11581	4973	--- 	--- 	--- 	--- 		0.025465449	0.123887128	-0.009663761	0.095139381	-0.05883863	-0.134855417	-0.117690861	-0.050072596	-0.007500739	0.097530313	0.139141682	0.257157791	0.038853695	0.38055972	-0.401465676	0.732061135	1.328775387	.	.	.	.	.
1113	Russell 	52947	49854	46860	47356	45394	46351	40364	35775	27377	27448	25937	27083	24093	24837	21636	26592	19548	13513	--- 	--- 	--- 	--- 		0.06204116	0.063892446	-0.010473858	0.043221571	-0.020646804	0.14832524	0.128273934	0.306753844	-0.002586709	0.058256545	-0.042314367	0.124102436	-0.029955309	0.147947865	-0.186371841	0.360343769	0.446606971	.	.	.	.	.
1115	St. Clair 	83593	64740	50009	41205	27956	25388	26687	27336	24510	23383	20715	19425	17353	14462	9360	11013	6829	5638	5975	4166	--- 	--- 		0.291210998	0.294566978	0.21366339	0.473923308	0.10115015	-0.048675385	-0.023741586	0.115299878	0.048197408	0.128795559	0.066409266	0.119402985	0.199903195	0.54508547	-0.150095342	0.612681212	0.211245122	-0.056401674	0.434229477	.	.	.
1117	Shelby 	195085	143429	99358	66298	38037	32132	30362	28962	27576	27097	26949	23684	20886	17236	12218	12618	9536	6112	5704	2416	--- 	--- 		0.360150318	0.44355764	0.498657576	0.742987092	0.183773186	0.058296555	0.048339203	0.050261097	0.017677234	0.005491855	0.137856781	0.133965336	0.211766071	0.410705516	-0.031700745	0.323196309	0.560209424	0.071528752	1.360927152	.	.	.
1119	Sumter 	13763	14772	16174	16908	16974	20041	23610	27321	26929	25569	28699	32710	29574	28728	24109	24035	22250	29937	--- 	--- 	--- 	--- 		-0.068304901	-0.08668233	-0.043411403	-0.0038883	-0.153036276	-0.151164761	-0.135829582	0.014556798	0.053189409	-0.109063034	-0.122623051	0.106039088	0.029448622	0.191588204	0.003078843	0.080224719	-0.256772556	.	.	.	.	.
1121	Talladega 	82291	80734	74107	73826	65280	65495	63639	51832	45241	41005	37921	35773	29346	23360	18064	23520	18624	12587	--- 	--- 	--- 	--- 		0.019285555	0.089424751	0.003806247	0.13091299	-0.003282693	0.029164506	0.227793641	0.145686435	0.103304475	0.081326969	0.060045286	0.219007701	0.25625	0.293179805	-0.231972789	0.262886598	0.479621832	.	.	.	.	.
1123	Tallapoosa 	41616	41771	38826	38676	33840	35007	35074	35270	31188	29744	31034	29675	25460	23401	16963	23827	15584	6444	--- 	--- 	--- 	--- 		-0.003710708	0.075851234	0.003878374	0.142907801	-0.03333619	-0.001910247	-0.005557131	0.130883673	0.048547606	-0.041567313	0.045796125	0.16555381	0.087987693	0.379531922	-0.288076552	0.528939938	1.418373681	.	.	.	.	.
1125	Tuscaloosa 	194656	164932	150522	137541	116029	109047	94092	76036	64153	53680	47559	36147	30352	24957	20081	23200	18056	16583	13646	8229	--- 	--- 		0.180219727	0.095733514	0.094379131	0.185401925	0.064027438	0.158940186	0.237466463	0.185229062	0.195100596	0.128703295	0.315710847	0.190926463	0.216171816	0.242816593	-0.134439655	0.284891449	0.088825906	0.215227906	0.658281687	.	.	.
1127	Walker 	67023	70688	67670	68660	56246	54211	63769	64201	59445	50593	37013	25162	16078	9479	6543	7980	5124	4032	2202	--- 	--- 	--- 		-0.051847555	0.044598788	-0.014418876	0.220709028	0.037538507	-0.14988474	-0.006728867	0.080006729	0.174964916	0.366898117	0.470987998	0.564995646	0.696170482	0.448723827	-0.180075188	0.557377049	0.270833333	0.83106267	.	.	.	.
1129	Washington 	17581	18077	16694	16821	16241	15372	15612	16188	16365	14279	14454	11134	7935	4538	3912	4669	2713	5300	3474	--- 	2920	1250		-0.027438181	0.082844136	-0.007550086	0.035712087	0.056531356	-0.01537279	-0.035581913	-0.010815765	0.146088662	-0.012107375	0.298185737	0.403150599	0.748567651	0.16002045	-0.162133219	0.720973093	-0.488113208	0.525618883	.	.	1.336	.
1131	Wilcox 	11670	12995	13568	14755	16303	18739	23476	26279	24880	31080	33810	35631	30816	31828	28377	24618	17352	15278	9548	2917	--- 	--- 		-0.101962293	-0.042231722	-0.080447306	-0.094951849	-0.129996264	-0.201780542	-0.106663115	0.056229904	-0.199485199	-0.080745342	-0.051107182	0.15625	-0.031795903	0.121612574	0.152693151	0.418741355	0.135750753	0.600125681	2.273225917	.	.	.
1133	Winston 	24484	24806	22053	21953	16654	14858	18250	18746	15596	14378	12855	9554	6552	4253	4155	3576	1542	--- 	--- 	--- 	--- 	--- 		-0.01298073	0.124835623	0.004555186	0.318181818	0.120877642	-0.185863014	-0.026458978	0.201974865	0.084712756	0.118475301	0.345509734	0.458180708	0.540559605	0.023586041	0.161912752	1.319066148	.	.	.	.	.	.
2013	Aleutians East Borough	3141	2697	2464	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 										0.164627364	0.094561688	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	Aleutians West Census Area	#N/A	#N/A	9478	7768	8057	6011	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 										#N/A	#N/A	0.220133883	-0.03586943	0.340375977	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
2020	Anchorage Borough    	291826	260299	226338	174431	124542	82833	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 										0.121118406	0.150045507	0.297578985	0.400579724	0.503531201	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	Angoon	#N/A	#N/A	--- 	--- 	503	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 	--- 										#N/A	#N/A	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
